NAME,FOREIGN NAME,CATEGORY
master kong milk tea original flavor - 500ml,康师傅 经典奶茶 香浓味 500ml,Beverages
master kong plum juice - 500ml,康师傅 酸梅汤 500ml,Beverages
master kong snow pear drink - 500ml,康师傅 冰糖雪梨 500ml,Beverages
mengniu chunzhen premium greek yogurt original flavor (2 pack),蒙牛 纯甄风味酸牛奶 经典原味 (2包),Beverages
mengniu real fruit grain flower fruit light milk lactobacillus drink peach flavor (2 pc),蒙牛真果粒 花果轻乳 乳酸菌饮品 樱花风味 白桃果粒 (2瓶),Beverages
mengniu real fruit grain flower fruit light milk lactobacillus drink rose strawberry flavor (2 pc),蒙牛真果粒 花果轻乳 乳酸菌饮品 玫瑰草莓味 (2罐),Beverages
nanfang black sesame milk protein drink - 248ml,南方 黑芝麻牛奶复合蛋白饮料 248ml,Beverages
okf rice milk - 500ml,韩国OKF米奶 500ml,Beverages
oriental tea rhyme attain eminence step by step - 96g,东方茶韵 手工花茶 步步高升系列 96g,Beverages
oriental tea rhyme falls in love - 96g,东方茶韵 情投意合 手工花茶 96g,Beverages
oriental tea rhyme love at first sight - 96g,东方茶韵 手工花茶 一见钟情系列 96g,Beverages
oriental tea rhyme thinking of an old acquaintance - 96g,东方茶韵 秋水伊人 手工花茶 96g,Beverages
oriental tea rhyme twin dragon on pearl - 96g,东方茶韵 双龙戏珠 手工花茶 96g,Beverages
pocari sweat drink,日本大冢制药 运动饮料,Beverages
qoo fruit jelly drink grapes flavor,Qoo啫喱饮料 葡萄味,Beverages
qoo fruit jelly drink peach flavor,Qoo啫喱饮料 桃子味,Beverages
qoo orange juice (1 pc),Qoo 橙汁 (1 pc),Beverages
rico thai tea (6 pc),红牌 泰式奶茶 (6罐),Beverages
royal mills iced cappuccino premium coffee,Royal Mills 卡布奇诺咖啡,Beverages
royal mills iced coffee drink,Royal Mills 罐装咖啡,Beverages
royal mills mocha coffee,Royal Mills 摩卡咖啡,Beverages
sanbaole pokka sapporo soft drink orange flavor - 400ml,POKKA SAPPORO三宝乐 果粒橙汁 400ml,Beverages
sangaria royal milk tea,SANGARIA红茶姬 奶茶,Beverages
sangaria strawberry milk,SANGARIA红茶姬 草莓牛奶,Beverages
sheng he tang herbal meal yellow peach coconut flavor - 241g (2pc),生和堂 龟苓膏 黄桃椰香味 241g,Beverages
shi zai chen hua honey ginger tea - 18g (20 pack),食在辰华 蜂蜜姜茶 18g (20包/盒),Beverages
shui lian wan flavored yogurt strawberry flavor,水恋湾 风味酸奶 草莓味,Beverages
shui lian wan milk drink banana flavor (2 bottles),水恋湾 牛奶饮品 香蕉风味 (2瓶),Beverages
shui lian wan milk drink strawberry flavor (2 bottles),水恋湾 草莓风味牛奶饮品 (2瓶),Beverages
shui lian wan yogurt mango flavor,水恋湾 风味酸奶 芒果味,Beverages
shui lian wan yogurt original flavor,水恋湾 风味酸奶 原味,Beverages
somoving yogurt drink mango flavor - 120g (4 bottles),好感冻 老酸奶果味型饮料 芒果味 120g (4瓶),Beverages
somoving yogurt drink original flavor - 120ml (4 bottles),好感冻 老酸奶果味型饮料 原味 120ml (4瓶),Beverages
somoving yogurt drink passion fruit flavor (4 bottles),好感冻 老酸奶果味型饮料 百香果味 120g (4瓶),Beverages
somoving yogurt drink strawberry flavor - 120g (4 bottles),好感冻 老酸奶果味型饮料 120g 草莓味 (4瓶),Beverages
sunity herbal jelly original flavor,生和堂 龟苓膏 原味,Beverages
sunity herbal jelly reishi,生和堂 龟苓膏 灵芝,Beverages
sunity herbal jelly rock sugar,生和堂 冰糖菊花龟苓膏,Beverages
