MEAL INSTANCE ID,CODE,ENGLISH NAME,FOREIGN NAME,QUANTITY SOLD
1249337,,(limited) lychee - 2lb,(限量) 荔枝 2lb,4
1001191,,3-ply surgical mask (50 pc),PPE医用口罩 (50个),1
699125,,a choy - 1lb,A菜 1lb,4
1274585,,a kuan broad noodle hot & spicy flavor (4 packs),阿宽 红油面皮 麻辣味 (4包),1
696206,,aged vinegar - 500ml,老陈醋 500ml,1
1174340,,ai shang shrimp chips braised beef flavor - 180g,爱尚 咪咪虾条 红烧牛肉味 180g,1
1174337,,ai shang shrimp chips original flavor - 180g,爱尚 咪咪虾条 原味 180g,2
1174348,,ai shang shrimp chips spicy crawfish flavor - 180g,爱尚 咪咪虾条 麻辣小龙虾味 180g,1
